Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Apolloni, Ignazio",A Elio Pagliarani Palermo 7.8.1976 Ignazio Apolloni,3699,CFI0161361,RISERVATI NARRATIVA.APOLLONI 1976(A) ,"*Niusia / Ignazio Apolloni. - Palermo : Antigruppo, stampa 1976. - 182 p. : ill. ; 20 cm ((Ed. di 500 esempl.",38.1157° N,13.3615° E,Palermo,,Palermo,7 agosto 1976,https://drive.google.com/file/d/10qooRlY3O9-vrT4u9ty_bCd5vDRG6Jl7/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto dal Passato Remoto, Alberto",2398,RAV0262881,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"*Parigi o cara / Alberto Arbasino. - Milano : Adelphi, \1995!. - 311 p. ; 18 cm",,,,,,,https://drive.google.com/file/d/1_q1Gl6DEArmMcZnNoXxmlhtBWjMNTqM3/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto dal Passato Remoto, Alberto",2398,RAV0262881,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"Parigi o cara / Alberto Arbasino. - Milano : Adelphi, \1995!. - 311 p. ; 18 cm",,,,,,,https://drive.google.com/file/d/10Xn3RG00l7LproYsaLNR2Fem56R2mPZ9/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani un cordiale saluto da Alberto Arbasino,1783,RAV0058494,RISERVATI NARRATIVA.ARBASINO 1975(A) ,"La *narcisata / Alberto Arbasino. - Torino : Einaudi, [1975]. - 127 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1rwaI50OZdidIyqvNb_Jpr_g8rc5qVRHT/view?usp=sharing,
"Arbasino, Alberto",Per Elio con un abbraccio e un applauso anche a Rudi! Alberto,3637,RAV0254013,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"*Specchio delle mie brame / Alberto Arbasino. - Milano : Adelphi, [1995]. - 169 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/13l9mNX0tnnXJxuk8JxYYC8K3O24sNW8b/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani un caro saluto da Alberto,3642,RAV0053288,RISERVATI NARRATIVA.ARBASINO 1978(A) ,"*Super-Eliogabalo : Romanzo / Alberto Arbasino. - Torino : Einaudi, [1978]. - 351 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1giMiMJ9YWoa1oY5icQtklY-E6sxTBJCS/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani con un saluto da Alberto,3644,RAV0304497,RISERVATI NARRATIVA.ARBASINO 1997(A) ,"*Passeggiando tra i draghi addormentati / Alberto Arbasino. - Milano : Adelphi, \1997!. - 271 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1cdFG8RQ4o5qR76S_W1KfFCgdhMS8QCMU/view?usp=sharing,
"Arbasino, Alberto",Per Elio con mille e mille auguri carissimi da Alberto 21-03-2006,4022,LO11037365,RISERVATI NARRATIVA.ARBASINO 2006 ,"*Dall'Ellade a Bisanzio / Alberto Arbasino. - Milano : Adelphi, [2006]. - 164 p., [8] c. di tav. : ill. ; 18 cm",41.9028° N,12.4964° E,Roma,,,21 marzo 2006,https://drive.google.com/file/d/105cKl9inyiETg3KzJqlJztc7dQXMIaAG/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto, Alberto",3687,SBL0148545  ,RISERVATI.NARRATIVA.ARBASINO.1977(A),"*Certi Romanzi / Alberto Arbasino. - Nuova ed. seguita da La belle epoque per le scuole. - Torino : Einaudi, [1977]. - 371 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1dxtPFMUqM94dsbxav5Q9-e0bwOY4AVA6/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto dal Passato Remoto, Alberto",2398,RAV0262881,RISERVATI NARRATIVA.ARBASINO 1995(A),"*Parigi o cara / Alberto Arbasino. - Milano : Adelphi, \1995!. - 311 p. ; 18 cm",,,,,,,,
"Ardini, Carlo","A Elio e Cetta la coppia perfetta, a Cetta e Elio il mio Vangelio con affetto Carlo Viserba 16 febb. 2001",5265,BVE0271505 ,RISERVATI.NARRATIVA.ARDINI.2001(A),"La *pesca reale : Romanzo / Carlo Ardini. - Rimini : La stamperia, stampa 2001. - 231 p. ; 21 cm",42.4207° N,12.1077° E,Viserba,,Viserba,16 febbraio 2001,https://drive.google.com/file/d/1a_B583-8IkDifclkuRs8dkr2G1yxS4TN/view?usp=sharing,
"Ardizzone, Luisa",A Elio Pagliarani Maria Luisa Ardizzone,4711,CFI0057805,RISERVATI NARRATIVA.ARDIZZONE 1984(A) ,"La *vita dispersa / Maria Luisa Ardizzone. - Milano : All'insegna del pesce d'oro, 1984. - 176 p. ; 17 cm ((Ed. di 1500 copie num.",40.7128° N,74.0060° W,New York City,,,,https://drive.google.com/file/d/1TC87FiuJ6RxZtb6fTZeYMNHTiBFso5Jh/view?usp=sharing,
"Arminio, Franco",a Elio Pagliarani,4854,MIL0781925,RISERVATI POESIA.ARMINIO 1997 ,"*Homo timens / Franco Arminio. - Serra di Pratola (AV) : Sellino & Barra, 1997. - 155 p. ; 18 cm",41.0153° N,15.3759° E,Bisaccia,,,,,
"Asor Rosa, Alberto",A Elio Pagliarani con amicizia Alberto Asor Rosa,3663,RAV1208866,RISERVATI SAGGISTICA.ASORROSA 2004(A) ,"*Novecento primo, secondo e terzo / Alberto Asor Rosa. - Nuova ed. aggiornata di Un altro Novecento. - Milano : Sansoni, 2004. - XXII, 570 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1UDdo-gihg3XvxTXs2h1PKIliKa_XQTt4/view?usp=sharing,
"Attolico, Leopoldo",A Concetta ed Elio cari Leopoldo XI 2009,4006,IEI0666569,RISERVATI POESIA.ATTOLICO 2009(R) ,"*Mi (s)consenta / Leopoldo Attolico ; con sette opere di Ester Ciammetti. - Bollate : Signum edizioni d'arte, 2009. - 24 p. : ill. ; 14 cm",45.4642° N,9.1900° E,Milano,,,novembre 2009,,
"Baino, Mariano",A Elio Pagliarani in amicizia Mariano Baino 2001,4659,MIL0514430,RISERVATI POESIA.BAINO 2000(A) ,"*Pinocchio (moviole) : (1995-98) / Mariano Baino ; introduzione di Francesco Leonetti. - Lecce : Piero Manni, 2000. - 71 p. ; 21 cm",40.8518° N,14.2681° E,NAPOLI,,,2001,,
"Baldini, Raffaello","A Elio con amicizia Lello Milano, febbraio 1982",4652,RLZ0209739,RISERVATI POESIA.BALDINI 1982(A) ,"La *nàiva : *versi in dialetto Romagnolo / Raffaello Baldini ; introduzione di Dante Isella. - Torino : Einaudi, c1982. - XI, 144 p. ; 19 cm ((Traduzione italiana in calce.",45.4642° N,9.1900° E,Milano,,Milano,febbraio 1982,https://drive.google.com/file/d/1sYC_966sZSiDFuvR6Y0ol_99aOWxFOLD/view?usp=sharing,
"Baldini, Raffaello","Devi credermi, Elio sono più sbalordito di te. Un abbraccio Lello Milano, 14 gennaio 1977",5195,SBL0148969,RISERVATI POESIA.BALDINI 1976(A) ,"E' *solitèri : versi in dialetto Romagnolo / Raffaello Baldini. - Imola : Grafiche Galeati, stampa 1976. - 71 p. ; 23 cm",45.4408° N,9.1900° E,9.1900° E,,Milano,14 gennaio 1977,https://drive.google.com/file/d/1wkIz6I43PJhIq7VXfIP8bXCL56LeO6hC/view?usp=sharing,
"Balestrini, Nanni",A Elio Pagliarani con tanta amicizia Nanni Balestrini,787,SBL0524066,RISERVATI POESIA.BALESTRINI 1961(A) ,"Il *sasso appeso / Nanni Balestrini. - Milano : All'insegna del pesce d'oro, 1961. - 39 p. ; 12x12 cm ((Ed. di 500 esempl. num.",45.4642° N,,Milano,,,,https://drive.google.com/file/d/1R_m8tgUZcexIf22qmVadtSEe7jyqgV-e/view?usp=sharing,
"Balestrini, Nanni",Al mio caro Elio Nanni,844,RAV0090695,RISERVATI POESIA.BALESTRINI 1965(A) ,"*Altri procedimenti : 1964-65 / Nanni Balestrini. - Milano : All'insegna del pesce d'oro, [1965]. - 61 p. ; 16x16 cm ((Ed. di 600 esemplari numerati, più 50 esemplari f.c. numerati I-L",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1sG3oPWTNHX2H0LfTv_Ewm4idxfxUgN10/view?usp=sharing,
"Balestrini, Nanni",A Elio caro amico compagno bravissimo con affetto Nanni settembre 2003,3651,VEA0181784,RISERVATI POESIA.BALESTRINI 2003(A) ,"*Tutto in una volta : 50 poesie per 50 anni / Nanni Balestrini. - Spinea : Edizioni del Leone, 2003. - 106 p. ; 20 cm",45.4408° N,9.1900° E,Milano,,,settembre 2003,https://drive.google.com/file/d/1qolOvSocKS6tvh9oe1yxKx5YX7J-gp-N/view?usp=sharing,
