Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Bertolucci, Attilio","Per Elio Pagliarani, per il poeta il suo Attilio Bertolucci Roma, 2 giugno 1994",5057,LO10337966,RISERVATI VARIA.CARTEGGIBERTOLUCCI 1994(A) ,"Una *lunga amicizia : lettere 1938-1982 / Attilio Bertolucci, Vittorio Sereni ; a cura di Gabriella Palli Baroni ; prefazione di Giovanni Raboni. - Milano : Garzanti, 1994. - 327 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,2 giugno 1994,,
"Bisiach, Gianni","A Elio Pagliarani con amicizia e gratitudine Gianni Bisiach Roma, aprile 1991",3671,CFI0088177,RISERVATI POESIA.MAGRELLI 1987(A) ,"*Nature e venature / Valerio Magrelli. - Milano : A. Mondadori, 1987. - 126 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,aprile 1991,https://drive.google.com/file/d/1PDZX-Y2aeeDA0jAwR2RzBTHEXkPFSLjC/view?usp=sharing,
"Bisiach, Gianni","A Elio Pagliarani con amicizia e gratitudine Gianni Bisiach Roma, aprile 1991",3703,TO00036313,RISERVATI SAGGISTICA.BISIACH 1991(A) ,"Il *Presidente : la lunga storia di una breve vita / Gianni Bisiach. - 4. ed. - Roma : Newton Compton, 1991. - 446 p., <32> c. di tav. : ill. ; 23 cm",41.9028° N,12.4964° E,Roma,,Roma,aprile 1991,,
"Bisinger, Gerald",Per Elio Pagliarani (v. p.25) con tanti saluti cordiali Gerald Bisinger Berlino nel ottobre 1971,5131,LIG0014063,RISERVATI POESIA.GEIGER 1971(A) ,"*7 Neue Gedichte / Gerald Bisinger. - Torino : Geiger , 1971. - 35 p. ; 15 cm . ((Trad. italiana a fronte",52.5200° N,13.4050° E,Berlino,,Berlino,ottobre 1971,,
"Bodini, Vittorio",All'amico Pagliarani cordialmente Vittorio Bodini Roma ottobre '67.,656,SBL0066060,RISERVATI POESIA.BODINI 1967(A) ,"*Metamor / Vittorio Bodini. - Milano : All'insegna del pesce d'oro, [1967]. - 43 p. ; 16 cm ((Ed. di 600 esempl. num.",41.9028° N,12.4964° E,Roma,,Roma,ottobre 1967,https://drive.google.com/file/d/1DTeHK8AF2P7AMiPaYNGXiG8fids_Hg0s/view?usp=sharing,
"Bonanni, Laudomia",A Elio Pagliarani cordialmente Laudomia Bonanni,3685,RAV0049538,RISERVATI.NARRATIVA.BONANNI.1979(A),"Il *bambino di pietra : una nevrosi femminile / Laudomia Bonanni. - Milano : Bompiani, 1979. - 169 p. ; 21 cm",42.3498° N,13.3995° E,L'Aquila,,,,https://drive.google.com/file/d/134SjwRJ5mQHyL0pJ9Ca0G0MZVTiYyR2F/view?usp=sharing,
"Brignetti, Raffaello","Con stima e amicizia ad Elio Pagliarani, da Raffaello Brignetti Roma, aprile 67",3690, BVE0522448 ,RISERVATI.NARRATIVA.BRIGNETTI.1967(A),"Il *gabbiano azzurro / Raffaello Brignetti. - Torino : Einaudi, 1967. - 196 p. ; 23 cm",41.9028° N,12.4964° E,Roma,,Roma,aprile 1967,https://drive.google.com/file/d/1XW59F8GO5uFnpCrm48PNvkYIb9JSl35a/view?usp=sharing,
"Bruck, Edith",A Elio con affettuosa amicizia Edith Roma 14.3.74.,4782,RAV0077289,RISERVATI NARRATIVA.BRUCK 1974(A) ,"*Due stanze vuote / Edith Bruck ; [presentazione di Primo Levi]. - Padova : Marsilio, 1974. - 114 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,Roma,14 marzo 1974,https://drive.google.com/file/d/1P_yqKQYLjMwKuVoU2QinfWune76f4Ml-/view?usp=sharing,
"Buttitta, Pietro M.",A Elio Pagliarani con fraterno affetto Pietro M. Buttitta,4657,SBL0500077,RISERVATI POESIA.BUTTITTA 1959(A) ,"Una *lettera e altre poesie. - Padova : Rebellato, 1959. - 41 p. ; 17 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1iza--LOg4bmqZ_tQVI_XuK7agfpK3sSG/view?usp=sharing,
"Cacciatore, Edoardo",A Pagliarani molto cordialmente Cacciatore,5044,CFI0054252,RISERVATI POESIA.CACCIATORE 1986(A) ,"*Graduali / Edoardo Cacciatore ; introduzione di Filippo Bettini. - Lecce : P. Manni, 1986. - 115 p. ; 22 cm ((Ed. di 999 esempl.",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1Ky6ZvFb_Ddgi-9fC8DOQX-1OMQACRFDL/view?usp=sharing,
"Caggiati, Marco","A Elio Pagliarani con cordiale ricordo e amicizia Marco Caggiati Milano, l'Avanti agosto '58",806,SBL0485091,RISERVATI POESIA.CAGGIATI 1958(A) ,"La *seconda domenica d'agosto / Marco Caggiati. - Milano : Schwarz ed., stampa 1958. - 70 p. ; 22 cm ((Ed. di 500 esempl. num.",45.4642° N,9.1900° E,Milano,,Milano,agosto 1958,https://drive.google.com/file/d/17fLvXZAZ15mbeIoSoUZMG3PzaWFgcDtL/view?usp=sharing,
"Calabria, Marco",A Elio con grande simpatia e la speranza di fare ancora qualcosa insieme Marco Calabria,866,CFI0243119,RISERVATI SAGGISTICA.CALABRIA 1985(A) ,"*Non ci sono sedie per tutti : una ricerca sulla poesia italiana negli anni settanta / a cura di Mar. - Roma : Valore d'uso, stampa 1985",45.4064° N,11.8768° E,Padua,,,,https://drive.google.com/file/d/1hN2wLGb6MNn9LUj-UKVuRMSJZDmaQU5Z/view?usp=sharing,
"Canducci, Lea  ",A Elio e Maria Concetta con amicizia e stima Lea Canducci Roma 21-9-2001,5425,RMR0021249 ,RISERVATI.POESIA.CANDUCCI.2001(A),"*Terre Nere / Lea Canducci ; incisioni di Marina Bindella, Carlo Lorenzetti, Giulia napoleone, Lucio Passerini. - Roma : Edizioni dell'Oleandro, 2001",41.9028° N,12.4964° E,Roma,,Roma,21 settembre 2001,https://drive.google.com/file/d/15Srk1PdrqdWf2EbOwopoScHV7L41xBPc/view?usp=sharing,
"Caporali, Marco ","A Elio, Cetta e Lia Rosa nel mondo all'aperto l'amicizia e gli auguri di Marco 20/7/91",2360,BVE0041126 ,"RISERVATI,POESIA.CAPORALI.1991(A)","Il *mondo all'aperto / Marco Caporali ; prefazione di Elio Pagliarani. - Roma : Empiria, 1991",42.4088° N,12.6872° E,Cottanello,,,20 luglio 1991,https://drive.google.com/file/d/1yTTFIyydO9UhXfUQmbCz_aWYatsmrjcu/view?usp=sharing,
"Caporali, Marco ","A Cetta, Elio e Lia Rosa con amicizia Marco 13/2/04",5059,RML0138069 ,RISERVATI.POESIA.CAPORALI.2003(A),"*Casa Bagger / Marco Caporali ; con quattro incisioni di Svend Bagger. - Roma : Il Labirinto, 2003",42.4088° N,12.6872° E,Cottanello,,,13 febbraio 2004,https://drive.google.com/file/d/1gjHYS4epfIXE5iDPzRes7GHwjTFESCv8/view?usp=sharing,
"Caporali, Marco ","Cottanello 18/11/07 A Elio, Cetta e Lia Rosa con l'amicizia di Marco e con questo mi hai fatto scrivere la poesia di pag.....   66",5067,UBO3384948 ,RISERVATI.POESIA.CAPORALI.2007(A),"*Alla fine del solco / Marco Caporali. - Roma : EmpirÌa, ©2007",42.4088° N,12.6872° E,Cottanello,,Cottanello,18 novembre 2007,https://drive.google.com/file/d/1Km5LlPvhl2VwQakABA6qcPEd1J7eKn5N/view?usp=sharing,
"Capriolo, Paola",A Elio Pagliarani cordialmente Paola Capriolo,3718,RAV0313231,RISERVATI NARRATIVA.CAPRIOLO 1998(A) ,"*Barbara / Paola Capriolo. - \Milano! : Bompiani, 1998. - 133 p. ; 23 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1HP9NqYN27XhTna0U0Z5sOktI5OsZS4hk/view?usp=sharing,
"Capriolo, Paola",A Elio Pagliarani cordialmente Paola Capriolo,5058,TO00444693,RISERVATI SAGGISTICA.CAPRIOLO 1996(A) ,"L'*assoluto artificiale : nichilismo e mondo dell'espressione nell'opera saggistica di Gottfried Benn / Paola Capriolo. - Milano : Bompiani, [1996]. - 108 p. ; 22 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1gpzoJElSKx6OKG_TBsObNfM-1j-Dr61N/view?usp=sharing,
Caproni Giorgio,"A Elio Pagliarani, alla sua poesia Giorgio Caproni",4661,RAV0017729,RISERVATI POESIA.CAPRONI 1982(A) ,"Il *franco cacciatore / Giorgio Caproni. - Milano : Garzanti, 1982. - 147 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1tJI-cJGhPfBUfWvpXA2KjtQ6yW8dbWoz/view?usp=sharing,
"Caproni, Giorgio","A Elio Pagliarani, un suo affezionato lettore",777,CFI0030838,RISERVATI POESIA.CAPRONI 1986(A) ,"Il *conte di Kevenhüller / Giorgio Caproni. - Milano : Garzanti, 1986. - 182 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,,,,
"Caproni, Giorgio"," A Elio Pagliarani, alla sua poesia Giorgio Caproni",785,CFI0007144,RISERVATI POESIA.CAPRONI 1983(A) ,"*Tutte le poesie / Giorgio Caproni. - Milano : Garzanti, 1983. - 632 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1geaV5NAz7EXBxRpco4S9rMPCxSutDhTH/view?usp=sharing,
"Caproni, Mauro --- Caproni, Silvana",Per Cetta ed Elio Pagliarani da Silvana e Mauro 14-6-91,2362,CFI0185597,RISERVATI POESIA.CAPRONI 1991(A) ,"*Res amissa / Giorgio Caproni ; a cura di Giorgio Agamben. - Milano : Garzanti, 1991. - 228 p. ; 22 cm",41.9028° N,12.4964° E,Roma,"Dedica dei figli di Giorgio Caproni, Silvana e Mauro, a Cetta e Elio Pagliarani",,14 giugno 1991,https://drive.google.com/file/d/1WNRgL8ZRiiv4_EiXIOkuWfyZxwqItwK3/view?usp=sharing,
"Castaldi, Marosia",A Elio Pagliarani con stima (gennaio 1986),3421,URB0453560,RISERVATI NARRATIVA.CASTALDI 1986(A) ,"*Abbastanza prossimo / Marosia Castaldi ; nota critica di Mario Spinella. - Torino : Tam Tam, 1986. - 85 p. ; 22 cm",45.4408° N,9.1900° E,Milano,,,gennaio 1986,https://drive.google.com/file/d/1tCEqlzOW5nF3wyvdGrM3UKt9ugTD27zk/view?usp=sharing,
"Catucci, Leonardo",Per Elio Pagliarani maestro d'arte e simpatia ripensando al 6 ottobre Leonardo Catucci,3713,LIG0023259,RISERVATI POESIA.CATUCCI 2000(A) ,"*Arrampicarmi ancora / Leonardo Catucci. - Roma : Oppure, 2000. - 73 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,6 ottobre,https://drive.google.com/file/d/1l1PznVhL-PSMxsiAh1mqFQ5YYvkAbRR6/view?usp=sharing,
"Celli, Giorgio",A Elio Pagliarani con immutata simpatia Giorgio Celli,4662,UBO2157283,RISERVATI POESIA.CELLI 1969(A) ,"*Morte di un biologo / Giorgio Celli. - Bologna : Centro Duchamp, 1969. - [23] carte ; 25 cm ((Il verso delle carte è bianco.",44.4949° N,11.3426° E,Bologna,,,,https://drive.google.com/file/d/1tJI-cJGhPfBUfWvpXA2KjtQ6yW8dbWoz/view?usp=sharing,
"Cepollaro, Biagio",A Elio al mio Maestro più caro Biagio,5262,NAP0090118,RISERVATI POESIA.CEPOLLARO 1993(A) ,"*Scribeide : 1985-1989 / Biagio Cepollaro ; introduzione di Romano Luperini. - Lecce : P. Manni, 1993. - 130 p. ; 22 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1JzYmDhAxPu-lH-wgz8TWeJWA5gazW26h/view?usp=sharing,
"Cerniglia, Rossella","A Elio Pagliarani con profonda stima Rossella Cerniglia Palermo, 28 novembre 2003",4956,MIL0630462,RISERVATI POESIA.CERNIGLIA 2003(A) ,"*Mentre cadeva il giorno / Rossella Cerniglia. - Lecce : Manni, [2003]. - 52 p. ; 20 cm",38.1157° N,13.3615° E,Palermo,,Palermo,28 novembre 2003,https://drive.google.com/file/d/1jG07KheVKxeY3-A20eA2IKiAbzUrQq3A/view?usp=sharing,
"Cesarano, Giorgio",Per Elio Pagliarani con viva simpatia Giorgio Cesarano,3947,SBL0143928,RISERVATI POESIA.CESARANO 1963(A) ,"La *pura verità / Giorgio Cesarano. - Milano : A. Mondadori, 1963. - 103 p. ; 18 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1B6xRT0KRYU1qJDlO2QffuU48LhYMns0w/view?usp=sharing,
"Cheney-Coker, Syl","To Elio Pagliarani best weks other Toronto Oct, 90",5811,TO00669851  ,RISERVATI.POESIA.CHENEY-COKER.1990(A),"  The *blood in the deserts eyes : poems / Syl Cheney-Coker. - Oxford : Heinemann, 1990. - 85 p. ; 20 cm",43.6532° N,79.3832° W,Toronto,,Toronto,ottobre 1990,https://drive.google.com/file/d/1nDwZvc42ERRTCuw173qMcjCgN12kpcvu/view?usp=sharing,
"Chilanti, Felice","A Elio Pagliarani come ho detto dedicandogli ""Parla Zarathustra"" e ""Il colpevole"" il tuo Felice Chilanti Roma giugno 69",3944,SBL0103114,RISERVATI NARRATIVA.CHILANTI 1969(A) ,"*Ex / Felice Chilanti ; con uno scritto di Antonio Pizzuto. - Milano : All'insegna del pesce d'oro, 1969. - 158 p. ; 17 cm ((Ed. di 2000 esempl. num.",41.9028° N,12.4964° E,Roma,,Roma,giugno 1969,https://drive.google.com/file/d/1x0SHpX_5PIK3HKt2a4ycSQHJymmeig4Z/view?usp=sharing,
"Ciampi, Piero","1994 A Elio Pagliarani (ricordando una lunga ed affettuosa lettera, 1968!) Piero",5439,IEI0688208,RISERVATI POSIA.CIAMPI 1973(A) ,"*Piero Ciampi 53 poesie. - Roma : RCA, 1973. - [54] p. ; 30 cm",41.9028° N,12.4964° E,Roma,,,1994,https://drive.google.com/file/d/1YE-MfhqMtPYR_EtzKU_kt5duwlsDQHzf/view?usp=sharing,
"Colucci, Carlo Felice",Ad Elio Pagliarani con molta considerazione e simpatia Carlo Felice Colucci  Napoli maggio1979,3652,CFI0468565,RISERVATI NARRATIVA.COLUCCI 1979 (A) ,"I *figli dell'arca / Carlo Felice Colucci. - Roma : Cooperativa scrittori, 1979. - 230 p. ; 20 cm",40.8518° N,14.2681° E,Napoli,,Napoli,maggio 1979,https://drive.google.com/file/d/1RGM6f3S2NYOLocBw7d9ycxU4W92zqt2w/view?usp=sharing,
"Colusso, Tiziana",Ottobre 2004 A Elio Pagliarani con la stima che si deve a un maestro sia pure irriverente T. Colusso,5114,RMB0488494,RISERVATI POESIA.COLUSSO 2004(A) ,"*Italiano per straniati / Tiziana Colusso ; con un saggio di Gaetano delli Santi. - Milano : Fabio D'Ambrosio Ed., [2004]. - 75 p. ; 21 cm",48.8566° N,2.3522° E,Paris,,,ottobre 2004,https://drive.google.com/file/d/1Yubvpj5pIDBFxuLpCEORnpN7d8-Qt840/view?usp=sharing,
"Compagnone, Luigi",A Elio Pagliarani il suo Luigi Compagnone,3697,SBL0599393,RISERVATI.NARRATIVA.COMPAGNONE.1974(A),"*Ballata e morte di un capitano del popolo : Romanzo / Luigi Compagnone. - Milano : Rusconi, 1974. - 212 p. ; 22 cm",40.8518° N,14.2681° E,Napoli,,,,https://drive.google.com/file/d/168g8rAC2c9Bk7NkUVW1JyMdjaAeN3BD6/view?usp=sharing,
"Conti, Laura","Grazie, caro Elio: non dimentico il tuo incoraggiamento Laura",4946,SBL0455411,RISERVATI NARRATIVA.CONTI 1965(A) ,"La *condizione sperimentale / Laura Conti. - Milano : A. Mondadori, 1965. - 238 p. ; 19 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1-hDaKyUkjOF5bsWXedIrvmGyMjxXNMSp/view?usp=sharing,
"Copioli, Rosita","A Cetta, Elio e Lia Rosa Pagliarani",2593,RAV1684209,RISERVATI POESIA.COPIOLI 2008(A) ,"Il *postino fedele / Rosita Copioli. - Milano : Mondadori, 2008. - 172 p. ; 18 cm",44.0678° N,12.5695° E,Rimini,,,,https://drive.google.com/file/d/1R-7NCUXVhJ6vB3igbIEAWw7fLSWoix2V/view?usp=sharing,
"Copioli, Rosita","A Elio, Cetta e Lia Rosa il ricordo di Rosita gennaio 1993",4784,RAV0210913  ,RISERVATI.NARRATIVA.COPIOLI.1993(A),"Il *fuoco dell'Eden / Rosita Copioli ; con VIII tavole di Domenico Bianchi. - Siracusa : Tema celeste, 1992. - 151 p. : ill. ; 18 cm",44.0678° N,12.5695° E,Rimini,,,gennaio 1993,,
"Cordelli, Franco",A Elio con affetto Franco,3669,TO00764486,RISERVATI NARRATIVA.CORDELLI 1999(A) ,"Un *inchino a terra / Franco Cordelli. - Torino : Einaudi, \1999!. - 232 p. ; 23 cmP",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1AYUSBHk-JAR5Kys63zW_vNmWWO-o2wh4/view?usp=sharing,
"Cordelli, Franco",A Elio con affetto Franco,3673,CFI0182446,RISERVATI NARRATIVA.CORDELLI 1990(A) ,"L'*Italia di mattina / Franco Cordelli. - Milano : Leonardo, 1990. - 109 p. ; 23 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1a3UtNBPSc7l8l6l0EzsyHpvuk-1vniXI/view?usp=sharing,
"Cordelli, Franco","Ad Elio con affetto, Franco 7.6.78",3711,RAV0087042,RISERVATI TEATRO.CORDELLI 1978(A) ,"Il *poeta postumo : manie, pettegolezzi, rancori / Franco Cordelli ; foto di Agnese De Donato, Giorgio Piredda. - Cosenza : Lerici, c1978. - 108 p., [44] c. di tav. : fotogr. ; 22 cm",45.4408° N,9.1900° E,Milano,,,7 giugno 1978,,
"Cordelli, Franco",A Elio con l'amicizia del suo Franco Milano 27.1.84,4947,RAV0061557,RISERVATI NARRATIVA.CORDELLI 1983(A) ,"*Proprietà perduta / Franco Cordelli. - Milano : Guanda, 1983. - 242 p. ; 20 cm",45.4642° N,9.1900° E,Milano,,Milano,27 gennaio 1984,,
"Costa, Corrado","Godi, ragazzo dal fiero cipiglio l'avanguardia ha fatto un altro figlio .... a Elio Pagliarani [segue disegno a penna]",501,SBL0274951,RISERVATI POESIA.COSTA 1964(A) ,"*Pseudobaudelaire / Corrado Costa. - Milano : All'insegna del pesce d'oro, 1964. - 51 p. ; 16 cm ((Ed. di 500 esempl. num.",44.4949° N,11.3426° E,Bologna,,,,https://drive.google.com/file/d/10_Wf1-chXgdGQeuT96-ghZXzOaVc4SnN/view?usp=sharing,
"Costantini, Vilma",A Elio Pagliarani con grande stima e ammirazione il frutto di questo mio modesto lavoro sulla poesia cinese Vilma Costantini,805,BRI0002069,RISERVATI ANTOLOGIE.COSTANTINI 1985(A) ,"*Coppe di giada / Li Po, Tu Fu, Po Chu-i ; a cura di  di Vilma Costantini. - Torino : UTET, 1985. - XIX, 274 p. ; 18 cm ((Antologia.",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1Do9IHfvfTuVVaR5UH20dgippnaNH-DDo/view?usp=sharing,
"Coviello, Michelangelo","Al mio Poeta preferito, al mio amico sposato con la ragazza dal sorriso meraviglioso",5644,IEI0691594,RISERVATI.POESIA.COVIELLO.2010(A),"*Michelangelo Coviello. - [S.l.] : Officina di Poesia, 2010. - [20] p. : ill. ; 15 cm ((Tit. della cop. - Stampato nel mese di maggio 2010 in occasione della mostra di Wolmer Cantoni",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1YXjiUUZuqJmjCNxPrjf7ZXQx46brJL5P/view?usp=sharing,
"Cristofaro, Antonella",A Cetta  Petrollo e a Elio Pagliarani amici di un grande critico in carne! Con grande affetto Antonella Cristofaro,5509,LZ10231148,RISERVATI NARRATIVA.CRISTOFARO 2007(A) ,"*All'altezza delle labbra / Antonella Cristofaro. - Roma : Avagliano, [2007]. - 124 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1UGy-V7e3WlX64Ul9RVljCNW36A-tOpod/view?usp=sharing,
"Crovi, Raffaele",A Elio Raffaele 9.12.1959,823,SBL0500083,RISERVATI POESIA.CROVI 1959(A) ,"L'*inverno / Raffaele Crovi ; con una nota di Giansiro Ferrata. - Caltanissetta [etc.] : S. Sciascia, [1959]. - 56 p. ; 17 cm",45.4408° N,9.1900° E,Milano,,,9 dicembre 1959,https://drive.google.com/file/d/1bw30i8IJMGq0TuORXHPasBp7e2VrCJd5/view?usp=sharing,
"Crovi, Raffaele","A Elio, con forte amicizia, Raffaele18.4.84",4707,CFI0055167,RISERVATI NARRATIVA CROVI 1984(A) ,"*Ladro di ferragosto / Raffaele Crovi. - Milano : Frassinelli, 1984. - 96 p. ; 21 cm",45.4408° N,9.1900° E,Milano,,,18 aprile 1984,,
"Crovi, Raffaele",A Elio un evviva affettuoso da Raffaele,4783,RAV0285368,RISERVATI NARRATIVA.CROVI 1996(A) ,"L'*indagine di via Rapallo : Romanzo / Raffaele Crovi ; disegni originali di Max Casalini. - Casale Monferrato : Piemme, 1996. - 295 p. : ill. ; 22 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1hAuVMmE00ZDa1TzGwxW7-1biVudPj12X/view?usp=sharing,
"Cucchi, Maurizio",A Elio Pagliarani amichevolmente Maurizio Cucchi,4778,SBL0335516,RISERVATI POESIA.CUCCHI 1980(A) ,"Le *meraviglie dell'acqua / Maurizio Cucchi. - Milano : A. Mondadori, 1980. - 91 p. ; 20 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1inKmgOGUTNDiLwg2aHkvrPKyYolyhWOI/view?usp=sharing,
"Cucchi, Maurizio","A Elio Pagliarani molto cordialmente, Maurizio Cucchi",4785,SBL0578409,RISERVATI POESIA.CUCCHI 1976(A) ,"Il *disperso / Maurizio Cucchi. - [Milano] : A. Mondadori, 1976. - 89 p. ; 20 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1OM9ag9mfttVJXkXf5o5mTaMhQ1vFi1Io/view?usp=sharing,
"Cucchi, Maurizio",A Elio Pagliarani con l'amicizia di Maurizio febb. 90,5191,CFI0172903,RISERVATI POESIA.CUCCHI 1990(A) ,"La *luce del distacco : versi per il teatro / Maurizio Cucchi. - Milano : Crocetti, stampa 1990. - 29 p. ; 20 cm",45.4408° N,9.1900° E,Milano,,,febbraio 1990,https://drive.google.com/file/d/1us1VcQ_ebYawxZEqzFxEDGhvVDeSSLJ0/view?usp=sharing,
"Damiani, Claudio","A Elio e Cetta, questa casa: [segue disegno di una casa] Claudio",3701,BVE0070048,RISERVATI POESIA.DAMIANI 1994(A) ,"La *mia casa / Claudio Damiani. - Forte dei Marmi : Galleria Pegaso, stampa 1994. - 60 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/11y3S03JSRmnoLKBn87tE2Dr12GBO7vH8/view?usp=sharing,
"Damiani, Claudio ","A Elio e Cetta questo piccolo libretto, portato insieme al libro di Beppe, Claudio 7 gennaio 88",5269,RMR0019114 ,RISERVATI.POESIE.DAMIANI.1987(A),"*Fraturno / Claudio Damiani ; con due disegni di Beate von Essen. - Roma : Il Melograno-Edizioni Abete, 1987",41.9028° N,12.4964° E,Roma,,,7 gennaio 1988,https://drive.google.com/file/d/1l8Edum4gxof6ZxyHt05CTuUPxryIuuIq/view?usp=sharing,
"De Thomasis, Roberta","Al poeta amico, musico Elio Pagliarani l'amico Maestro della poesia, nel cuore attesa compiuta 63 - 97 - 2001 e poi ... ancora ritmo poesia Speranza, Guido, stasera anche Piera. Roberta Biblioteca Pigneto Roma, 18 dicembre '97",5440,IEI0688211,RISERVATI POESIA.DETHOMASIS 1997(A) ,"*Conchiglie / Roberta De Thomasis. - Pescara : Samizdat, 1997. - 81 p. . ill. ; 20 cm",41.9028° N,12.4964° E,Roma,,Roma,18 dicembre 1997,https://drive.google.com/file/d/1aV8ACMzsbfxZCjpEr_cEC-7tkQPHhVFu/view?usp=sharing,
"De Vita, Ugo",Cetta ed Elio con senso di amicizia Ugo  Roma 30 gennaio 2012,3967,IEI0665896,RISERVATI POESIA.DEVITA 2011(A) ,"*Turning Page cambio di rotta : Esercizi di poesia - versi sparsi e prose / Ugo De Vita. - Roma : Edizioni del Manto, stampa 2011. - 83 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,Roma,30 gennaio 1972,https://drive.google.com/file/d/14BEUHUyX1dP78gbzxeZnZMbyajy8O4F4/view?usp=sharing,
"Del Giudice, Daniele",Ad Elio Pagliarani con stima e amicizia Daniele Del Giudice maggio 1983,3686,RAV0191261,RISERVATI.NARRATIVA.DELGIUDICE.1983(A),"Lo *stadio di Wimbledon / Daniele Del Giudice. - Torino : Einaudi, 1983. - 127 p. ; 20 cm",45.4408° N,12.3155° E,Venezia,,,,https://drive.google.com/file/d/1RXtZwkTc9dXwSBkZiY0gZnkXKpeta6hz/view?usp=sharing,
"Della Casa, Giuliano",Ad Elio Pagliarani Giuliano Della Casa Modena 15-9-1995,4199,RER0017068,RISERVATI CATALOGHICAPPI/DELLACASA 1994(A) ,"*Piccoli dei / Alberto Cappi, Giuliano Della Casa. - Faenza : Circolo degli Artisti, 1994. - [39] c. : ill. ; 30 cm ((Catalogo della Mostra.",44.6471° N,10.9252° E,Modena,,Modena,15 settembre 1995,,
"Di Francesco, Tommaso",In un giorno di sole e di novembre tornando dalla Cina con stima ed affetto Tommaso Di Francesco,3710,CFI0239549,RISERVATI.NARRATIVA.DITOMMASO.1995(A),"*Doppio deserto / Tommaso Di Francesco ; prefazione di Paolo Volponi. - Catania : Pellicanolibri, ©1985. - 83 p. ; 21 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/12Oqht9xnH7-53u_grgsQ6rk2LagC4QbC/view?usp=sharing,
"Donati, Alba",Per Elio Pagliarani con un ricordo Alba Donati gennaio '98,4663,RAV0334612,RISERVATI POESIA.DONATI 1997(A) ,"La *repubblica contadina / Alba Donati. - Firenze : City lights italia luci della citta, 1997. - 68 p. ; 20 cm",43.7696° N,11.2558° E,Firenze,,,gennaio 1998,https://drive.google.com/file/d/1ANjpTrNmvtuhvSLNatJuHR7GPdk9vf0o/view?usp=sharing,
"Eco, Umberto",A Elio Pagliarani affettuosamente Umberto Eco,2218,SBL0130843,RISERVATI NARRATIVA.ECO 1963(A) ,"*Diario minimo / Umberto Eco. - Milano : A. Mondadori, 1963. - 169 p. ; 18 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1-YNByqLO8189Nh4gmsm_iF97HrypQJ3u/view?usp=sharing,
"Eco, Umberto",A Elio Umberto,3672,RAV0052397,RISERVATI SAGGISTICA.ECO 1983(A) ,"*Sette anni di desiderio / Umberto Eco. - Milano : Bompiani, 1983. - 304 p. ; 23 cm ((In sopraccoperta: Cronache, 1977-1983.",45.4408° N,9.1900° E,Milano,,,,,
"Eco, Umberto",A Elio Umberto,3712,CFI0097988,RISERVATI NARRATIVA.ECO 1988(A) ,"Il *pendolo di Foucault / Umberto Eco. - \Milano! : Bompiani, 1988. - 509 p. ; 24 cm",45.4408° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1soWewHtlPTChciu4QeFfcZ7HZdofR6QN/view?usp=sharing,
"Erba, Luciano",A Elio Pagliarani con affettuoso saluto Luciano Erba,583,SBL0516643,RISERVATI POESIA.ERBA 1960(A) ,"Il *male minore / Luciano Erba. - [Milano] : A. Mondadori, 1960. - 80 p. ; 19 cm",45.4642° N,9.1900° E,Milano,,,,https://drive.google.com/file/d/1d-J2YYs_QZKEi9XX255HBx1qELJIvVaA/view?usp=sharing,
